rank,etf_code,etf_name,n_stocks,n_covered,coverage,rev_growth_2026,rev_growth_2027,rev_growth_2028,op_growth_2026,op_growth_2027,op_growth_2028,fwd_per,fwd_pbr,fwd_roe,composite_score
1,0150K0,KoAct 수소전력ESS인프라액티브,45,35,81.2,46.75,25.72,18.95,2109.73,55.85,42.19,71.03,4.19,1.13,65.71
2,365000,TIGER 인터넷TOP10,11,8,95.0,22.31,9.11,7.47,2165.19,17.17,8.47,48.98,3.64,4.81,65.29
3,0101N0,RISE AI전력인프라,16,12,73.8,21.48,14.43,14.4,1443.21,28.14,25.19,48.66,3.3,12.26,55.94
4,377990,TIGER Fn신재생에너지,24,18,95.1,25.86,16.03,14.0,1092.25,34.65,27.21,42.43,3.15,8.29,51.56
5,0166N0,PLUS 코스닥150액티브,65,48,84.7,58.95,15.56,57.16,1166.46,-366.89,955.67,115.31,6.47,-4.07,49.48
6,270810,RISE 코스닥150,150,97,66.2,48.37,69.57,42.73,503.5,-108.75,890.65,146.97,10.55,7.1,47.85
7,229200,KODEX 코스닥150,150,97,66.2,48.41,69.53,42.65,503.69,-108.33,886.95,146.55,10.56,7.11,47.83
8,0163Y0,KoAct 코스닥액티브,88,63,70.1,35.97,38.58,58.52,638.11,-247.84,1209.03,193.26,7.12,6.63,47.83
9,354500,ACE 코스닥150,153,97,65.9,48.47,69.39,42.66,502.66,-109.76,889.01,146.38,10.56,7.07,47.8
10,316670,KIWOOM 코스닥150,151,97,66.4,48.67,69.93,41.84,495.42,-107.33,877.75,141.74,10.61,7.06,47.78
11,232080,TIGER 코스닥150,151,97,66.1,48.54,69.57,42.09,506.19,-107.6,876.64,147.31,10.58,7.09,47.7
12,385510,KODEX 신재생에너지액티브,78,65,91.7,29.57,18.09,15.0,796.39,45.51,32.31,93.07,3.49,7.5,46.1
13,388420,RISE 비메모리반도체액티브,16,14,91.7,75.33,23.4,13.3,671.7,28.99,11.27,34.09,2.13,16.04,45.55
14,364980,TIGER 2차전지TOP10,10,9,95.6,13.51,24.71,15.73,76.96,223.79,53.33,69.31,3.25,-4.78,44.04
15,0162Y0,TIME 코스닥액티브,64,47,66.6,53.37,53.83,41.58,725.74,-179.32,773.07,242.07,7.47,1.6,42.96
16,494220,UNICORN SK하이닉스밸류체인액티브,22,21,99.4,69.76,25.64,19.38,538.36,25.11,6.97,49.98,1.77,23.01,42.9
17,400970,TIGER Fn메타버스,21,18,98.1,26.91,5.69,4.14,507.27,18.94,8.87,38.31,2.13,9.65,42.69
18,261070,TIGER 코스닥150바이오테크,30,19,61.4,78.87,68.02,48.36,80.01,-199.5,1163.06,152.86,19.09,-0.44,42.63
19,091160,KODEX 반도체,36,27,84.5,125.02,33.07,3.96,465.63,33.7,2.08,36.47,2.31,22.94,42.63
20,091230,TIGER 반도체,36,27,84.4,124.91,33.07,3.96,464.84,33.7,2.07,36.48,2.31,22.93,42.62
21,469150,ACE AI반도체TOP3+,20,17,76.8,132.4,32.76,4.96,428.43,34.93,4.33,40.5,2.26,23.1,42.05
22,266370,KODEX IT,47,36,94.0,112.03,29.53,6.23,414.42,37.99,9.27,43.74,2.06,20.63,41.93
23,442260,마이티 다이나믹퀀트액티브,83,71,82.8,102.29,25.32,7.46,409.86,27.96,6.32,35.14,1.49,20.5,41.75
24,0182R0,1Q K반도체TOP2+,11,9,85.5,123.05,34.48,6.55,390.47,35.28,5.71,42.18,2.82,24.42,41.5
25,401470,KODEX 메타버스액티브,29,25,97.9,56.05,21.55,6.66,344.24,31.41,10.39,31.5,1.95,13.72,41.17
