종목코드,종목명,매출액_2023,매출액_2024,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2023,영업이익_2024,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,매출액_성장률_2025,매출액_성장률_2026,매출액_성장률_2027,매출액_성장률_2028,매출액_최대성장률,영업이익_성장률_2025,영업이익_성장률_2026,영업이익_성장률_2027,영업이익_성장률_2028,영업이익_최대성장률,데이터_가용성,가용_연도수,PER,PBR,ROE,평균거래량_20d,OBV_trend,RSI,저항선,지지선,MA_align,MACD_signal,외인_5d,외인_20d,기관_5d,기관_20d,시장,현재가,시가총액,Recent_Volume,거래량배수,업종
5930,삼성전자,2589355.0,3008709.0,3336059.0,6357613.0,,,65670.0,327260.0,436010.0,3172297.0,,,10.88,90.57,,,90.57,33.23,627.57,,,627.57,2년치 존재,2,36.84,1.51,10.85,23105808.0,up,58.9,226000.0,150400.0,up,bull,,,,,KOSPI,220500,12891044,20519819,0.9,반도체와반도체장비
660,SK하이닉스,327657.0,661930.0,971467.0,3277342.0,4465585.0,4600970.0,-77303.0,234673.0,472063.0,2469594.0,3352894.0,3382088.0,46.76,237.36,36.26,3.03,237.36,101.16,423.15,35.77,0.87,423.15,4년치 존재,4,,1.82,44.15,3752144.0,up,70.6,1300000.0,807000.0,up,bull,,,,,KOSPI,1286000,9165352,3227541,0.9,반도체와반도체장비
35720,카카오,75570.0,78640.0,80991.0,86589.0,93489.0,101279.0,4609.0,4953.0,7320.0,9186.0,11037.0,12254.0,2.99,6.91,7.97,8.33,8.33,47.79,25.49,20.15,11.03,47.79,4년치 존재,4,,2.44,4.59,1241252.0,down,43.2,62300.0,44850.0,mixed,bull,,,,,KOSPI,47300,209539,1480837,1.2,양방향미디어와서비스
5935,삼성전자우,2589355.0,3008709.0,3336059.0,6357613.0,,,65670.0,327260.0,436010.0,3172297.0,,,10.88,90.57,,,90.57,33.23,627.57,,,627.57,2년치 존재,2,36.84,1.51,10.85,3305644.0,up,63.0,163500.0,110100.0,up,bull,,,,,KOSPI,158300,1270154,4466311,1.4,반도체와반도체장비
34020,두산에너빌리티,175899.0,162331.0,170579.0,180193.0,199066.0,224736.0,14673.0,10176.0,7627.0,11235.0,15684.0,20733.0,5.08,5.64,10.47,12.9,12.9,-25.05,47.31,39.6,32.19,47.31,4년치 존재,4,183.04,1.43,1.11,3918681.0,up,70.4,129200.0,80600.0,up,bull,,,,,KOSPI,127100,814153,3380571,0.9,기계
12450,한화에어로스페이스,78897.0,112401.0,267029.0,304626.0,,,5943.0,17319.0,30893.0,42838.0,,,137.57,14.08,,,137.57,78.38,38.67,,,78.38,2년치 존재,2,7.98,1.85,19.14,195654.0,up,49.2,1537000.0,1105000.0,mixed,bear,,,,,KOSPI,1417000,730653,236243,1.2,우주항공과국방
32830,삼성생명,309370.0,337860.0,371383.0,,,,23984.0,24998.0,25805.0,30018.0,31999.0,31317.0,9.92,,,,9.92,3.23,16.33,6.6,-2.13,16.33,4년치 존재,4,7.29,0.29,4.96,292963.0,up,56.4,258000.0,179000.0,up,bear,,,,,KOSPI,249500,499000,247037,0.8,생명보험
6800,미래에셋증권,203566.0,222423.0,292830.0,340480.0,,,5210.0,11881.0,19151.0,31240.0,,,31.65,16.27,,,31.65,61.19,63.12,,,63.12,2년치 존재,2,18.04,0.42,12.36,2772204.0,down,46.7,73600.0,40050.0,mixed,bear,,,,,KOSPI,64800,362599,2433634,0.9,증권
267250,HD현대,613313.0,677656.0,712594.0,808260.0,,,20316.0,29832.0,60996.0,82225.0,,,5.16,13.43,,,13.43,104.47,34.8,,,104.47,2년치 존재,2,18.91,0.61,10.25,158194.0,up,71.8,310500.0,223000.0,up,bull,,,,,KOSPI,310500,245274,302406,1.9,조선
373220,LG에너지솔루션,337455.0,256196.0,236718.0,280112.0,,,21632.0,5754.0,13461.0,11451.0,,,-7.6,18.33,,,18.33,133.94,-14.93,,,133.94,2년치 존재,2,80.86,4.95,-5.19,464111.0,up,59.1,484500.0,347500.0,up,bull,,,,,KOSPI,460500,1077570,483228,1.0,전기제품
24110,기업은행,286238.0,324300.0,292172.0,,,,34323.0,35941.0,36556.0,37451.0,,,-9.91,,,,-9.91,1.71,2.45,,,2.45,2년치 존재,2,3.54,0.3,7.7,986031.0,up,52.0,28550.0,21350.0,mixed,bull,,,,,KOSPI,22600,180218,1296670,1.3,은행
